Year,LapNumber,Attacker_Driver,Defender_Driver,Attacker_Position,Attacker_LapTime,Attacker_TyreLife,Attacker_Compound,Defender_LapTime,Defender_TyreLife,Defender_Compound,Delta_LapTime,Delta_TyreLife,Compound_Advantage,Estimated_Gap,IsOvertake
2022,2.0,MSC,HAM,19.0,90.906,2.0,MEDIUM,90.032,2.0,MEDIUM,0.8740000000000094,0.0,0,0.4370000000000047,0
2022,2.0,BOT,MSC,20.0,89.846,2.0,MEDIUM,90.906,2.0,MEDIUM,-1.0600000000000023,0.0,0,0.5300000000000011,0
2022,3.0,RUS,LEC,2.0,86.432,3.0,SOFT,86.352,3.0,SOFT,0.0799999999999983,0.0,0,0.03999999999999915,0
2022,3.0,VER,RUS,3.0,86.181,3.0,SOFT,86.432,3.0,SOFT,-0.2510000000000048,0.0,0,0.1255000000000024,0
2022,3.0,RIC,VER,4.0,87.818,3.0,MEDIUM,86.181,3.0,SOFT,1.6370000000000005,0.0,-1,0.8185000000000002,0
2022,3.0,GAS,RIC,5.0,87.625,3.0,MEDIUM,87.818,3.0,MEDIUM,-0.19299999999999784,0.0,0,0.09649999999999892,0
2022,3.0,NOR,GAS,6.0,87.655,3.0,MEDIUM,87.625,3.0,MEDIUM,0.030000000000001137,0.0,0,0.015000000000000568,0
2022,3.0,ALO,NOR,7.0,87.607,3.0,MEDIUM,87.655,3.0,MEDIUM,-0.04800000000000182,0.0,0,0.02400000000000091,0
2022,3.0,DEV,ALO,8.0,87.566,3.0,SOFT,87.607,3.0,MEDIUM,-0.04099999999999682,0.0,1,0.02049999999999841,0
2022,3.0,ZHO,DEV,9.0,87.989,3.0,MEDIUM,87.566,3.0,SOFT,0.4230000000000018,0.0,-1,0.2115000000000009,0
2022,3.0,STR,ZHO,10.0,88.096,4.0,MEDIUM,87.989,3.0,MEDIUM,0.10699999999999932,1.0,0,0.05349999999999966,0
2022,3.0,VET,STR,11.0,88.338,4.0,MEDIUM,88.096,4.0,MEDIUM,0.24199999999999022,0.0,0,0.12099999999999511,0
2022,3.0,OCO,VET,12.0,88.228,3.0,SOFT,88.338,4.0,MEDIUM,-0.10999999999999943,-1.0,1,0.054999999999999716,0
2022,3.0,MAG,OCO,13.0,88.221,3.0,MEDIUM,88.228,3.0,SOFT,-0.006999999999990791,0.0,-1,0.0034999999999953957,0
2022,3.0,SAI,MAG,14.0,87.539,3.0,MEDIUM,88.221,3.0,MEDIUM,-0.6820000000000022,0.0,0,0.3410000000000011,1
2022,3.0,PER,SAI,15.0,87.557,3.0,MEDIUM,87.539,3.0,MEDIUM,0.018000000000000682,0.0,0,0.009000000000000341,1
2022,3.0,LAT,PER,16.0,89.308,3.0,MEDIUM,87.557,3.0,MEDIUM,1.7510000000000048,0.0,0,0.8755000000000024,0
2022,3.0,TSU,LAT,17.0,89.333,3.0,MEDIUM,89.308,3.0,MEDIUM,0.024999999999991473,0.0,0,0.012499999999995737,0
